sigma,xi_quantile,runtime_seconds,candidate_ok,selection_score,clusters,noise_rate,internal_metric_points,silhouette,calinski_harabasz,davies_bouldin,ari_landslide_type,nmi_landslide_type,selected
0.235,0.002,1.8099476670031436,True,0.6487037804184609,7,0.0017730496453900709,1689,0.6504768300638509,3219.0647116009573,0.4456245303198472,0.04114017246906174,0.08830116413545117,True
0.18,0.1,1.646073083000374,True,0.5587208395309711,7,0.10401891252955082,1516,0.6627397520605219,5329.747896986756,0.48976935694504736,0.02717091530248972,0.07861744512516301,False
0.235,0.01,1.8090997079998488,True,0.640867788081917,6,0.01004728132387707,1675,0.6509150694057941,3802.3336906160494,0.47619303744844715,0.041111016648185526,0.08747267695724482,False
0.235,0.005,1.7951257919994532,True,0.6451454930386183,6,0.005319148936170213,1683,0.6504646419747886,3815.0288405455117,0.4778734795839119,0.041223522402521015,0.08827485525075399,False
0.235,0.02,1.7974401660030708,True,0.6288801764394104,6,0.02009456264775414,1658,0.6489747390871645,3749.891609474666,0.4745750828389492,0.04087379272254917,0.08651887196146464,False
0.24,0.005,1.8375962499994785,True,0.6431732873408805,6,0.005319148936170213,1683,0.6484924362770508,3769.2889006417054,0.4785632014112496,0.0411001147218864,0.08765236917747074,False
0.24,0.01,1.9166356669957167,True,0.6382744875825072,6,0.01004728132387707,1675,0.6483217689063843,3751.476473984775,0.47723291044155086,0.04107729830900931,0.0863851622421491,False
0.24,0.002,1.8249999999970896,True,0.6456932394613879,6,0.002364066193853428,1688,0.6480573056552413,3776.247154638278,0.47897947087348114,0.041223620946844314,0.08751971795454372,False
0.25,0.005,1.8557051250027143,True,0.6417701924838879,6,0.005319148936170213,1683,0.6470893414200581,3762.331116935856,0.4790673434236732,0.040726679997974344,0.08543695496521624,False
0.24,0.02,1.9767620829952648,True,0.6269477573116207,6,0.02009456264775414,1658,0.6470423199593748,3699.8028948379,0.4749169992509785,0.040861716313138535,0.08545912422575151,False
0.25,0.002,1.8313578329980373,True,0.6446717779597586,6,0.002364066193853428,1688,0.647035844153612,3773.1021593550945,0.4792661127011712,0.04088153445818136,0.086734882761516,False
0.25,0.01,1.854083416001231,True,0.6361501869360121,6,0.01004728132387707,1675,0.6461974682598892,3737.9314158888246,0.478843704110749,0.040778082860496175,0.08535610144367949,False
0.25,0.02,1.8236311669970746,True,0.6255074361752405,6,0.02009456264775414,1658,0.6456019988229946,3686.508108743075,0.4756442577660229,0.040479347887482184,0.0844923052184674,False
0.22,0.05,1.7695544169982895,True,0.5794204616388454,6,0.050236406619385346,1607,0.6296568682582308,3961.6178585719035,0.49280735497693423,0.04480529752587204,0.08502628491062346,False
0.22,0.01,1.7681029589948594,True,0.5933423690004542,7,0.01004728132387707,1675,0.6033896503243313,3501.441778945291,0.5000672560822054,0.04470767240398443,0.08613353449073545,False
0.22,0.002,1.7769906249959604,True,0.60182481944473,8,0.001182033096926714,1690,0.6030068525416566,3055.969255793571,0.4748737063104147,0.044901952936844944,0.08735084103436577,False
0.22,0.005,1.8557209999999031,True,0.5975592518251609,7,0.005319148936170213,1683,0.6028784007613311,3507.7320602261707,0.5016482859859664,0.04498555450744685,0.08689084668041325,False
0.22,0.02,1.762817750000977,True,0.5806195012074654,7,0.02009456264775414,1658,0.6007140638552195,3461.1967027537335,0.49785090703502327,0.044587518940558575,0.08512940096703069,False
0.18,0.005,1.6678207919976558,True,0.5564536994401064,10,0.0065011820330969266,1681,0.5629548814732033,3992.582649750288,0.5035834783188644,0.028280093456285023,0.08695717115541243,False
0.18,0.05,1.6379149589993176,True,0.5101259897572787,10,0.051418439716312055,1605,0.5615444294735908,3835.4868508544982,0.4784178048449717,0.028111841424904957,0.08548686627453801,False
0.18,0.01,1.656592333005392,True,0.5502923822244882,10,0.011229314420803783,1673,0.561521696645292,3980.480069951968,0.5016260665001852,0.028216434501597085,0.08641410904740765,False
0.18,0.02,1.654280208000273,True,0.5361452455379309,10,0.02127659574468085,1656,0.5574218412826117,3922.2125579663148,0.4962413876711945,0.02819168021782697,0.08611695712645269,False
0.235,0.05,1.8008780419986579,False,-inf,5,0.04846335697399527,1610,0.6791922256343443,4483.764432834469,0.4667315753831658,0.0411048348822191,0.08672320265013696,False
0.235,0.1,1.7947856660030084,False,-inf,5,0.06914893617021277,1575,0.6788296574968291,4193.828555852232,0.4605603035502005,0.04020798711934496,0.08599355434188993,False
0.22,0.1,1.8390425409961608,False,-inf,5,0.09692671394799054,1528,0.6780541356371553,4289.768976667011,0.43826402308280815,0.04199406555082477,0.0776298275641163,False
0.35,0.1,1.9467399589993875,False,-inf,3,0.08215130023640661,1553,0.6778967036937488,3952.7325073823654,0.4414034482709166,0.06548192397618263,0.08540532646612162,False
0.24,0.05,1.7948280409982544,False,-inf,5,0.0466903073286052,1613,0.6776454716792968,4435.2927479397085,0.46791910309522644,0.041086522203489434,0.08571527095688446,False
0.24,0.1,1.82957670900214,False,-inf,5,0.0466903073286052,1613,0.6776454716792968,4435.2927479397085,0.46791910309522644,0.041086522203489434,0.08571527095688446,False
0.25,0.05,1.8315562909992877,False,-inf,5,0.04491725768321513,1616,0.6765926368301628,4430.447384136755,0.46990372186483836,0.0407566096555047,0.08498506592462092,False
0.25,0.1,1.825756291000289,False,-inf,5,0.0797872340425532,1557,0.6734468425492042,3931.488141357487,0.46627821910871114,0.040220348308903156,0.08565151073404505,False
0.5,0.002,2.0330990000002203,False,-inf,3,0.0,1692,0.6379239985227488,3252.927412558053,0.5102911044603146,0.0976381219653148,0.09291499357512152,False
0.5,0.005,2.001002832999802,False,-inf,3,0.0,1692,0.6379239985227488,3252.927412558053,0.5102911044603146,0.0976381219653148,0.09291499357512152,False
