,missing_rate
storm_name,0.9220318960425281
continent_code,0.9031305375073834
injuries,0.6958062610750148
location_description,0.674542232722977
time,0.6284701712935618
source_name,0.4849379799173066
fatalities,0.14589486119314826
source_link,0.05906674542232723
city/town,0.002362669816893089
date,0.0017720023626698169
trigger,0.0011813349084465446
landslide_type,0.0005906674542232723
landslide_size,0.0005906674542232723
latitude,0.0005906674542232723
geolocation,0.0005906674542232723
longitude,0.0005906674542232723
distance,0.0005906674542232723
state/province,0.0005906674542232723
hazard_type,0.0
population,0.0
country_code,0.0
country_name,0.0
id,0.0
