case_id,eps,min_samples,runtime_seconds,clusters,noise_rate,internal_metric_points,ari,nmi,silhouette,selection_score,selected
spiral,0.2,3,0.0018355840002186596,3,0.0,312,1.0,1.0,0.001393007226841032,1.0,True
spiral,0.25,3,0.0017641660015215166,3,0.0,312,1.0,1.0,0.001393007226841032,1.0,False
spiral,0.3,3,0.001800082995032426,3,0.0,312,1.0,1.0,0.001393007226841032,1.0,False
spiral,0.3,5,0.0019496250024531037,3,0.0,312,1.0,1.0,0.001393007226841032,1.0,False
spiral,0.4,3,0.0019659590034279972,3,0.0,312,1.0,1.0,0.001393007226841032,1.0,False
spiral,0.4,5,0.0019390000015846454,3,0.0,312,1.0,1.0,0.001393007226841032,1.0,False
spiral,0.15,3,0.0017246249990421347,3,0.003205128205128205,311,0.9951543456458483,0.9918251949043995,0.0008839710020723709,0.9951543456458483,False
spiral,0.25,5,0.0019762090014410205,4,0.11538461538461539,276,0.7945129831112125,0.7805687583474902,-0.05598190621645762,0.7945129831112125,False
spiral,0.12,3,0.002042500003881287,7,0.1794871794871795,256,0.6332570874488127,0.6709322885412381,-0.0925232349708256,0.6332570874488127,False
spiral,0.4,8,0.0018772920011542737,3,0.2916666666666667,221,0.5322517902915335,0.6280577877995048,0.03330068495272993,0.5322517902915335,False
spiral,0.2,5,0.0017888340007630177,4,0.34615384615384615,204,0.4284201805877615,0.5701561000454536,0.011600765770848342,0.4284201805877615,False
spiral,0.1,3,0.0016194580020965077,9,0.358974358974359,200,0.3137835036374408,0.5022787271929697,-0.009774021186706516,0.3137835036374408,False
spiral,0.4,10,0.0018986249997396953,3,0.44871794871794873,172,0.3064342704516256,0.5063560939900363,0.14657769913107238,0.3064342704516256,False
spiral,0.3,8,0.0017942080012289807,3,0.5160256410256411,151,0.22970394145224524,0.45850174901397917,0.22705374599843647,0.22970394145224524,False
spiral,0.15,5,0.0017685839993646368,3,0.5769230769230769,132,0.1668568657375764,0.41407533169591043,0.3289547936919091,0.1668568657375764,False
spiral,0.25,8,0.0028040420002071187,3,0.6121794871794872,121,0.13671881843919206,0.38874777520010684,0.3912330226819112,0.13671881843919206,False
spiral,0.08,3,0.001581666998390574,12,0.5384615384615384,144,0.11674944029302455,0.37663730355038316,0.23037780338607514,0.11674944029302455,False
spiral,0.3,10,0.0019286660026409663,3,0.657051282051282,107,0.10250230853621677,0.3556458256028293,0.4807050836545953,0.10250230853621677,False
spiral,0.4,15,0.001786792003258597,3,0.6923076923076923,96,0.08015317533724292,0.32922961403270584,0.5483478262766784,0.08015317533724292,False
spiral,0.12,5,0.0015796669977135025,3,0.7083333333333334,91,0.07041986435912333,0.31677851399075413,0.5817125447854471,0.07041986435912333,False
spiral,0.25,10,0.001875999994808808,3,0.7307692307692307,84,0.05852084077131202,0.29914761110127674,0.6236454290071024,0.05852084077131202,False
spiral,0.2,8,0.001666916003159713,3,0.75,78,0.049537332892566344,0.2837702679848989,0.6578542060315431,0.049537332892566344,False
